disasterNumber,state,incidentType,incidentBeginDate,incidentEndDate,ihProgramDeclared,paProgramDeclared
5166,KY,Fire,2016-11-18T00:00:00.000Z,2016-11-22T00:00:00.000Z,0,1
5166,KY,Fire,2016-11-18T00:00:00.000Z,2016-11-22T00:00:00.000Z,0,1
5166,KY,Fire,2016-11-18T00:00:00.000Z,2016-11-22T00:00:00.000Z,0,1
5166,KY,Fire,2016-11-18T00:00:00.000Z,2016-11-22T00:00:00.000Z,0,1
5158,KY,Fire,2016-11-08T00:00:00.000Z,2016-11-21T00:00:00.000Z,0,1
4860,KY,Severe Storm,2025-02-14T00:00:00.000Z,2025-03-07T00:00:00.000Z,0,1
4860,KY,Severe Storm,2025-02-14T00:00:00.000Z,2025-03-07T00:00:00.000Z,0,1
4860,KY,Severe Storm,2025-02-14T00:00:00.000Z,2025-03-07T00:00:00.000Z,0,1
4860,KY,Severe Storm,2025-02-14T00:00:00.000Z,2025-03-07T00:00:00.000Z,0,1
4860,KY,Severe Storm,2025-02-14T00:00:00.000Z,2025-03-07T00:00:00.000Z,0,1
4860,KY,Severe Storm,2025-02-14T00:00:00.000Z,2025-03-07T00:00:00.000Z,0,1
4860,KY,Severe Storm,2025-02-14T00:00:00.000Z,2025-03-07T00:00:00.000Z,0,1
4861,WV,Severe Storm,2025-02-15T00:00:00.000Z,2025-02-18T00:00:00.000Z,0,1
4861,WV,Severe Storm,2025-02-15T00:00:00.000Z,2025-02-18T00:00:00.000Z,1,1
3626,KY,Severe Storm,2025-04-02T00:00:00.000Z,,0,1
3626,KY,Severe Storm,2025-04-02T00:00:00.000Z,,0,1
3626,KY,Severe Storm,2025-04-02T00:00:00.000Z,,0,1
3626,KY,Severe Storm,2025-04-02T00:00:00.000Z,,0,1
3626,KY,Severe Storm,2025-04-02T00:00:00.000Z,,0,1
3626,KY,Severe Storm,2025-04-02T00:00:00.000Z,,0,1
3626,KY,Severe Storm,2025-04-02T00:00:00.000Z,,0,1
3626,KY,Severe Storm,2025-04-02T00:00:00.000Z,,0,1
3626,KY,Severe Storm,2025-04-02T00:00:00.000Z,,0,1
3626,KY,Severe Storm,2025-04-02T00:00:00.000Z,,0,1
3626,KY,Severe Storm,2025-04-02T00:00:00.000Z,,0,1
3626,KY,Severe Storm,2025-04-02T00:00:00.000Z,,0,1
3626,KY,Severe Storm,2025-04-02T00:00:00.000Z,,0,1
3626,KY,Severe Storm,2025-04-02T00:00:00.000Z,,0,1
3626,KY,Severe Storm,2025-04-02T00:00:00.000Z,,0,1
3626,KY,Severe Storm,2025-04-02T00:00:00.000Z,,0,1
3626,KY,Severe Storm,2025-04-02T00:00:00.000Z,,0,1
3626,KY,Severe Storm,2025-04-02T00:00:00.000Z,,0,1
3626,KY,Severe Storm,2025-04-02T00:00:00.000Z,,0,1
3626,KY,Severe Storm,2025-04-02T00:00:00.000Z,,0,1
3626,KY,Severe Storm,2025-04-02T00:00:00.000Z,,0,1
3626,KY,Severe Storm,2025-04-02T00:00:00.000Z,,0,1
3626,KY,Severe Storm,2025-04-02T00:00:00.000Z,,0,1
3626,KY,Severe Storm,2025-04-02T00:00:00.000Z,,0,1
